action_id,action,output_type,canonical_text,app_output,notes
27,a,letter,A,A,Fingerspelling output; do not translate.
28,b,letter,B,B,Fingerspelling output; do not translate.
29,c,letter,C,C,Fingerspelling output; do not translate.
30,d,letter,D,D,Fingerspelling output; do not translate.
31,e,letter,E,E,Fingerspelling output; do not translate.
32,f,letter,F,F,Fingerspelling output; do not translate.
33,g,letter,G,G,Fingerspelling output; do not translate.
34,h,letter,H,H,Fingerspelling output; do not translate.
35,i,letter,I,I,Fingerspelling output; do not translate.
36,j,letter,J,J,Fingerspelling output; do not translate.
37,k,letter,K,K,Fingerspelling output; do not translate.
38,l,letter,L,L,Fingerspelling output; do not translate.
39,m,letter,M,M,Fingerspelling output; do not translate.
40,n,letter,N,N,Fingerspelling output; do not translate.
41,o,letter,O,O,Fingerspelling output; do not translate.
42,p,letter,P,P,Fingerspelling output; do not translate.
43,q,letter,Q,Q,Fingerspelling output; do not translate.
44,r,letter,R,R,Fingerspelling output; do not translate.
45,s,letter,S,S,Fingerspelling output; do not translate.
46,t,letter,T,T,Fingerspelling output; do not translate.
47,u,letter,U,U,Fingerspelling output; do not translate.
48,v,letter,V,V,Fingerspelling output; do not translate.
49,w,letter,W,W,Fingerspelling output; do not translate.
50,x,letter,X,X,Fingerspelling output; do not translate.
51,y,letter,Y,Y,Fingerspelling output; do not translate.
52,z,letter,Z,Z,Fingerspelling output; do not translate.
